source_group,skill_a,skill_b,n_jobs,lift
GLOBAL,Machine Learning,Python,2860,1.554
GLOBAL,AWS,Google Cloud,2747,4.353
GLOBAL,AWS,Python,2656,1.721
GLOBAL,AWS,Azure,2467,4.825
GLOBAL,React,TypeScript,2387,4.464
GLOBAL,Azure,Google Cloud,2281,7.328
GLOBAL,AWS,Kubernetes,2106,2.946
GLOBAL,AI Agents,LLM,1984,2.077
GLOBAL,Kubernetes,Python,1966,1.847
GLOBAL,AI Agents,Python,1956,1.09
GLOBAL,LLM,Python,1936,1.583
GLOBAL,Python,SQL,1924,1.952
GLOBAL,LLM,Machine Learning,1881,1.92
GLOBAL,Python,TypeScript,1855,1.65
GLOBAL,Google Cloud,Python,1668,1.775
GLOBAL,AI Agents,Machine Learning,1621,1.127
GLOBAL,Python,System Design,1594,1.487
GLOBAL,AWS,Machine Learning,1493,1.207
GLOBAL,Python,React,1484,1.358
GLOBAL,Kubernetes,System Design,1419,2.859
GLOBAL,Google Cloud,Kubernetes,1416,3.254
GLOBAL,AWS,System Design,1400,1.945
GLOBAL,Azure,Python,1308,1.718
GLOBAL,AWS,TypeScript,1291,1.709
GLOBAL,Claude,OpenAI API,1241,5.036
GLOBAL,AWS,Terraform,1238,3.704
GLOBAL,CI/CD,Python,1231,1.731
GLOBAL,AWS,CI/CD,1199,2.509
GLOBAL,AI Agents,AWS,1181,0.979
GLOBAL,AWS,React,1176,1.602
GLOBAL,PostgreSQL,TypeScript,1167,3.203
GLOBAL,Kubernetes,Terraform,1161,5.037
GLOBAL,PostgreSQL,React,1155,3.262
GLOBAL,Docker,Kubernetes,1130,5.327
GLOBAL,Go,Python,1124,2.0
GLOBAL,Machine Learning,System Design,1121,1.306
GLOBAL,AWS,PostgreSQL,1110,2.22
GLOBAL,PostgreSQL,Python,1102,1.48
GLOBAL,Azure,Kubernetes,1089,3.089
GLOBAL,Google Cloud,Machine Learning,1083,1.439
GLOBAL,Kubernetes,Machine Learning,1081,1.268
GLOBAL,CI/CD,Kubernetes,1059,3.214
GLOBAL,Python,Terraform,1056,2.122
GLOBAL,Java,Python,1026,1.841
GLOBAL,Node.js,TypeScript,1020,4.067
GLOBAL,AWS,Docker,1005,3.266
GLOBAL,Node.js,React,1004,4.12
GLOBAL,AWS,LLM,999,1.216
GLOBAL,Machine Learning,SQL,989,1.252
GLOBAL,JavaScript,Python,985,2.078
GLOBAL,AI Agents,System Design,982,1.173
GLOBAL,AI Agents,OpenAI API,979,1.525
GLOBAL,Linux,Python,979,1.917
GLOBAL,C++,Python,955,1.977
GLOBAL,Go,Kubernetes,939,3.607
GLOBAL,Docker,Python,910,1.987
GLOBAL,AI Agents,TypeScript,894,1.018
GLOBAL,Java,System Design,879,3.381
GLOBAL,Azure,Machine Learning,875,1.435
GLOBAL,AWS,Java,872,2.329
GLOBAL,AI Agents,Claude,871,1.618
GLOBAL,Google Cloud,System Design,869,1.983
GLOBAL,LLM,TypeScript,863,1.442
GLOBAL,LLM,OpenAI API,854,1.953
GLOBAL,AI Agents,Google Cloud,843,1.148
GLOBAL,AI Agents,Kubernetes,841,1.011
GLOBAL,Python,Rust,838,1.889
GLOBAL,Go,System Design,836,3.189
GLOBAL,Kubernetes,TypeScript,809,1.553
GLOBAL,Claude,LLM,809,2.207
GLOBAL,Machine Learning,Product Management,807,1.187
GLOBAL,OpenAI API,Python,804,0.978
GLOBAL,AI Agents,Product Management,799,1.205
GLOBAL,AI Agents,SQL,794,1.031
GLOBAL,Claude,Python,778,1.129
GLOBAL,Machine Learning,OpenAI API,778,1.182
GLOBAL,AWS,SQL,774,1.169
GLOBAL,CI/CD,Google Cloud,771,2.651
GLOBAL,Machine Learning,TypeScript,770,0.855
GLOBAL,JavaScript,TypeScript,759,3.273
GLOBAL,Kubernetes,PostgreSQL,758,2.198
GLOBAL,AWS,Go,751,1.989
GLOBAL,AI Agents,Snowflake,748,2.462
GLOBAL,Azure,System Design,731,2.059
GLOBAL,A/B Testing,Python,722,1.219
GLOBAL,Kubernetes,LLM,718,1.268
GLOBAL,Node.js,Python,717,1.399
GLOBAL,AWS,Node.js,714,2.074
GLOBAL,LLM,System Design,711,1.247
