source_group,skill_a,skill_b,n_jobs,lift
KE,Python,SQL,60,5.947
KE,Excel,Statistics,56,0.483
KE,Excel,Power BI,38,1.196
KE,Python,Statistics,36,2.039
KE,Power BI,SQL,33,6.068
KE,Machine Learning,Python,32,7.137
KE,Power BI,Statistics,31,3.257
KE,SQL,SQL Server,31,10.925
KE,AWS,Azure,28,10.355
KE,SQL,Statistics,28,1.41
KE,Excel,SQL,28,0.422
KE,Azure,SQL,28,4.674
KE,AWS,Python,28,6.149
KE,Power BI,Python,28,5.792
KE,Azure,Python,27,5.071
KE,Oracle,SQL,27,4.078
KE,C#,SQL,27,6.991
KE,Excel,Stakeholder Management,27,0.29
KE,Agile,CI/CD,26,7.21
KE,Data Visualization,Power BI,25,14.39
KE,Excel,M-Pesa,25,0.687
KE,Data Visualization,Statistics,24,3.783
KE,CI/CD,Docker,23,23.581
KE,Data Warehousing,SQL,23,10.062
KE,JavaScript,SQL,23,6.344
KE,Azure,CI/CD,23,10.239
KE,Agile,Python,21,2.457
KE,Power BI,Tableau,21,20.594
KE,PostgreSQL,Python,21,6.812
KE,Machine Learning,SQL,20,3.965
KE,Data Visualization,Python,20,6.206
KE,Excel,Python,20,0.339
KE,MySQL,PostgreSQL,20,23.727
KE,Git,REST API,20,26.212
KE,Docker,Kubernetes,20,41.01
KE,ETL,SQL,19,8.609
KE,PostgreSQL,SQL,19,5.479
KE,CI/CD,Kubernetes,19,23.809
KE,Data Visualization,SQL,19,5.24
KE,SQL,Tableau,19,8.928
KE,CI/CD,Python,19,5.022
KE,Agile,SQL,19,1.976
KE,Agile,Azure,19,3.744
KE,Java,SQL,19,3.952
KE,MySQL,SQL,19,6.888
KE,AWS,Google Cloud,18,15.811
KE,Docker,Python,18,7.786
KE,AWS,PostgreSQL,18,11.499
KE,MySQL,SQL Server,18,26.1
KE,AWS,SQL,18,3.513
KE,JavaScript,Python,18,5.585
KE,Git,PostgreSQL,17,17.217
KE,C#,Java,17,10.391
KE,Azure,Kubernetes,17,15.136
KE,CSS,HTML,17,67.52
KE,AWS,CI/CD,17,8.849
KE,Azure,Google Cloud,17,12.771
KE,Agile,Stakeholder Management,16,1.186
KE,AWS,Docker,16,13.628
KE,Azure,Docker,16,11.656
KE,Git,SQL,16,4.951
KE,Agile,Java,16,3.928
KE,Docker,PostgreSQL,16,20.132
KE,Agile,Jira,16,9.216
KE,Oracle,SQL Server,16,9.667
KE,Stakeholder Management,Statistics,16,0.574
KE,Data Visualization,Excel,16,0.756
KE,CI/CD,Microservices,15,20.3
KE,PostgreSQL,REST API,15,18.319
KE,Kubernetes,Python,15,7.93
KE,Java,Python,15,3.51
KE,Git,Python,15,5.222
KE,Azure,Microservices,15,14.424
KE,Statistics,Tableau,15,4.028
KE,SQL,Testing,15,6.344
KE,Data Visualization,Tableau,15,22.065
KE,Azure,SQL Server,15,10.016
KE,Machine Learning,Statistics,15,1.699
KE,Agile,Excel,14,0.249
KE,Azure,C#,14,6.868
KE,HTML,JavaScript,14,24.176
KE,Algorithms,Python,14,7.686
KE,JavaScript,REST API,14,16.354
KE,CI/CD,Git,14,11.553
KE,API Integration,PostgreSQL,14,24.222
KE,Azure,PostgreSQL,14,7.649
KE,LLM,Prompt Engineering,14,32.295
KE,LLM,Python,14,4.542
KE,C#,Python,14,4.078
KE,Agile,PostgreSQL,14,4.765
KE,Agile,Git,14,5.114
KE,AWS,Kubernetes,14,14.574
KE,C#,CI/CD,13,8.976
KE,CI/CD,Java,13,7.21
KE,Docker,Microservices,13,28.789
KE,CI/CD,REST API,13,12.936
KE,CI/CD,PostgreSQL,13,9.996
KE,LLM,Machine Learning,13,8.434
KE,Python,Tableau,13,6.872
KE,Excel,Oracle,13,0.336
KE,AWS,Agile,13,2.995
KE,Linux,SQL,13,3.749
KE,MySQL,Oracle,13,8.079
KE,C,C++,13,93.141
KE,AWS,MySQL,13,10.44
KE,Agile,Testing,13,6.489
KE,Excel,Payment Integration,13,0.543
KE,CSS,JavaScript,13,25.816
KE,Azure,MySQL,13,8.929
KE,Python,Terraform,12,11.419
KE,PostgreSQL,SQL Server,12,13.841
KE,API Integration,REST API,12,26.868
KE,AWS,Linux,12,7.666
KE,REST API,SQL,12,4.478
KE,Python,R,12,11.419
KE,Google Cloud,Python,12,5.353
KE,Kubernetes,PostgreSQL,12,18.455
KE,Data Warehousing,Python,12,5.906
KE,Agile,Microservices,12,7.188
KE,Linux,Python,12,3.893
KE,Linux,PostgreSQL,12,11.324
KE,Data Warehousing,ETL,12,27.0
KE,Agile,Docker,11,4.992
KE,ETL,Python,11,5.607
KE,API Integration,Git,11,20.424
KE,AWS,Java,11,5.069
KE,C#,SQL Server,11,11.393
KE,Python,SQL Server,11,4.361
KE,Python,REST API,11,4.618
KE,MongoDB,PostgreSQL,11,38.062
KE,Kubernetes,Microservices,11,29.773
KE,API Integration,Python,11,6.542
KE,Docker,Java,11,9.984
KE,.NET,C#,11,37.286
KE,Azure,JavaScript,11,5.749
KE,SQL,TypeScript,11,7.345
KE,JavaScript,TypeScript,11,22.994
KE,R,Statistics,11,5.317
KE,MySQL,Python,11,4.486
KE,Linux,MySQL,11,13.05
KE,C++,Linux,11,30.45
KE,Azure,Testing,11,8.814
KE,Azure,ETL,10,8.586
KE,Git,JavaScript,10,9.687
KE,CSS,SQL,10,6.344
KE,C#,JavaScript,10,8.106
KE,AWS,Terraform,10,18.738
KE,CI/CD,Terraform,10,22.556
KE,Java,PostgreSQL,10,6.807
KE,AWS,Machine Learning,10,4.392
KE,Bash,Python,10,9.516
KE,Agile,Kubernetes,10,5.546
KE,AWS,JavaScript,10,6.11
KE,CI/CD,Jenkins,10,30.758
KE,Azure,Java,10,3.941
KE,Docker,REST API,10,16.283
KE,Java,Kubernetes,10,11.093
KE,Docker,Git,10,13.503
KE,Git,Java,10,7.305
KE,Algorithms,Machine Learning,10,10.98
KE,API Integration,SQL,10,5.286
KE,Java,REST API,10,8.809
KE,Java,Testing,10,9.984
KE,Java,Microservices,10,11.98
KE,Microservices,PostgreSQL,10,16.609
KE,Data Warehousing,Power BI,10,9.13
KE,MySQL,REST API,10,15.353
KE,Node.js,PostgreSQL,10,21.854
KE,PHP,SQL,10,5.767
KE,MySQL,PHP,9,21.355
KE,Microservices,MySQL,9,18.792
KE,CI/CD,SQL,9,2.115
KE,Agile,REST API,9,3.964
KE,CI/CD,MySQL,9,8.7
KE,Power BI,Stakeholder Management,9,1.18
KE,PostgreSQL,TypeScript,9,19.669
KE,Docker,Redis,9,49.827
KE,PHP,Python,9,5.839
KE,Accessibility,Excel,9,0.444
KE,AWS,Node.js,9,13.314
KE,API Integration,AWS,9,10.54
KE,AWS,TypeScript,9,13.314
KE,Node.js,TypeScript,9,45.548
KE,Azure,Linux,9,4.917
KE,JavaScript,PostgreSQL,9,8.124
KE,CI/CD,JavaScript,9,6.62
KE,Agile,C#,9,2.751
KE,Data Visualization,Machine Learning,9,5.585
KE,GitHub,Python,9,6.117
KE,Google Cloud,Kubernetes,9,19.031
KE,Azure,Terraform,9,14.424
KE,Excel,Tableau,9,0.724
KE,Agile,MySQL,9,3.851
KE,CI/CD,Linux,9,6.92
KE,C#,TypeScript,9,17.662
KE,Docker,MySQL,9,14.236
KE,Algorithms,Java,9,10.368
KE,Go,Rust,9,152.25
KE,Azure,Git,9,5.277
KE,CI/CD,GitHub,9,14.5
KE,Ansible,Terraform,9,99.655
KE,C,Linux,9,21.983
KE,Go,Linux,9,31.142
KE,HTML,SQL,9,4.965
KE,SQL,Stakeholder Management,9,0.565
KE,CSS,PHP,8,33.218
KE,JavaScript,React,8,13.815
KE,PostgreSQL,Redis,8,33.218
KE,CI/CD,Testing,8,9.022
KE,Kafka,PostgreSQL,8,41.523
KE,Azure,Data Warehousing,8,6.632
KE,Docker,SQL,8,3.076
KE,Python,React,8,4.965
KE,Kubernetes,MySQL,8,15.467
KE,Agile,Product Management,8,3.072
KE,Bash,Linux,8,22.145
KE,Data Warehousing,Machine Learning,8,7.875
KE,C++,Rust,8,108.267
KE,Linux,Rust,8,36.909
KE,Azure,TypeScript,8,10.122
KE,C++,Go,8,81.2
KE,JavaScript,PHP,8,14.443
KE,C,Go,8,71.647
KE,C,Rust,8,95.529
KE,HTML,PHP,8,28.885
KE,Data Visualization,Data Warehousing,8,10.957
KE,CI/CD,Google Cloud,8,8.458
KE,CI/CD,Node.js,8,14.246
KE,Java,MySQL,8,6.846
KE,AWS,Microservices,8,8.994
KE,ETL,SQL Server,8,14.5
KE,NumPy,Python,8,14.273
KE,AWS,GitHub,8,10.708
KE,JavaScript,Node.js,8,16.723
KE,NLP,Python,8,12.688
KE,AWS,Algorithms,8,8.649
KE,API Integration,JavaScript,8,13.239
KE,Git,TypeScript,8,18.763
KE,Git,Testing,8,11.883
KE,C#,Testing,8,9.943
KE,Data Warehousing,Tableau,8,18.667
KE,Pandas,Python,8,14.273
KE,AWS,Bash,8,14.991
KE,Incident Response,Penetration Testing,8,40.154
KE,Ansible,Python,8,10.381
