skill,zindua_track,category,global_share_now,kenya_share_now,diffusion_gap,calibrated_gap,gap_rank,global_trend_12m,kenya_trend_12m,estimated_lag_months,status,confidence,is_calibration_baseline,months_observed,cell_usable
AI Agents,AI Engineering,ai-concept,0.21795523045142065,0.005473453749315818,0.21248177670210483,0.20869740308725482,1.0,0.05047639501034171,0.0065377852204843625,,teach_ahead,medium,False,33.0,True
Python,Software Engineering Core,language,0.27894612076264014,0.07006020799124248,0.20888591277139767,0.20510153915654766,2.0,0.037112291598388414,0.03126053178875829,,arriving,medium,False,33.0,True
Machine Learning,Data Science Core,ml-concept,0.2234752277422195,0.03503010399562124,0.18844512374659828,0.18466075013174826,3.0,0.0011031449693641726,0.010660571252953267,,established_both,medium,False,33.0,True
AWS,Data Engineering,cloud,0.18737512276067594,0.03557744937055282,0.15179767339012312,0.1480132997752731,4.0,0.0009521065487856362,0.03163945790864213,,established_both,medium,False,33.0,True
TypeScript,Frontend Development,language,0.13650987165159673,0.010399562123700055,0.12611030952789667,0.12232593591304665,5.0,-0.025102755842449476,0.009623326482395651,,declining_both,low,False,33.0,True
LLM,AI Engineering,ai-concept,0.148430356598598,0.0240831964969896,0.12434716010160839,0.12056278648675836,6.0,0.02788504031335373,-0.002465639084221132,,arriving,medium,False,33.0,True
React,Frontend Development,frontend,0.1326492600494429,0.012588943623426382,0.12006031642601653,0.1162759428111665,7.0,-0.02510372244059922,-0.005235117545676314,,declining_both,low,False,33.0,True
System Design,Software Engineering Core,architecture,0.13010938399539435,0.012588943623426382,0.11752044037196796,0.11373606675711793,8.0,0.0023281100138000804,0.0035535237509844216,,global_only,low,False,33.0,True
Kubernetes,DevOps Engineering,devops,0.12919502861593687,0.014778325123152709,0.11441670349278417,0.11063232987793414,9.0,-0.0034660476741157353,0.01160875965432159,,global_only,low,False,33.0,True
Google Cloud,Data Engineering,cloud,0.11405736733380745,0.01751505199781062,0.09654231533599683,0.0927579417211468,10.0,-0.014858847229808195,0.00517225422624858,,declining_both,low,False,33.0,True
OpenAI API,AI Engineering,ai-platform,0.09976633140302753,0.009304871373836891,0.09046146002919064,0.08667708641434062,11.0,0.006789027420148697,0.008105875799542844,,global_only,low,False,33.0,True
Product Management,Product Management,practice,0.1029835077381557,0.021346469622331693,0.08163703811582401,0.07785266450097399,12.0,-0.0026798517456173617,0.015111643509100338,,established_both,medium,False,31.0,True
Claude,AI Engineering,ai-platform,0.08364658471333265,0.005473453749315818,0.07817313096401683,0.0743887573491668,13.0,0.050546371928111206,0.001568090579058482,,teach_ahead,medium,False,33.0,True
PostgreSQL,Data Engineering,database,0.09038572251007485,0.0240831964969896,0.06630252601308524,0.06251815239823522,14.0,0.004894343382605998,0.021598788833379026,,established_both,medium,False,33.0,True
A/B Testing,Data Analytics,analysis,0.07192928985065529,0.009852216748768473,0.062077073101886815,0.05829269948703679,15.0,-0.0014536797570834491,0.014226318427159747,,global_only,low,False,31.0,True
Go,Software Engineering Core,language,0.06823800331877138,0.006568144499178982,0.061669858819592395,0.05788548520474237,16.0,-0.0059282691755723205,0.000784045289529241,,global_only,low,False,33.0,True
CI/CD,DevOps Engineering,devops,0.08635578583765112,0.029556650246305417,0.0567991355913457,0.053014761976495677,17.0,0.016146007898495122,-0.001630953898486217,,arriving,medium,False,33.0,True
Terraform,DevOps Engineering,devops,0.06041518507230181,0.008210180623973728,0.05220500444832808,0.04842063083347806,18.0,0.003870891683426525,0.009623326482395651,,global_only,low,False,33.0,True
Node.js,Software Engineering Core,backend,0.06221003081716279,0.010399562123700055,0.05181046869346273,0.048026095078612704,19.0,-0.0157253107762185,0.005437677130499013,,declining_both,low,False,33.0,True
Azure,DevOps Engineering,cloud,0.09241762335331369,0.04159824849480022,0.05081937485851347,0.047035001243663443,20.0,0.008235835586196776,0.01609824838345228,,established_both,medium,False,33.0,True
C++,Software Engineering Core,language,0.0586542043414948,0.008210180623973728,0.050444023717521075,0.04665965010267105,21.0,0.010094405378908655,0.001568090579058482,,teach_ahead,medium,False,33.0,True
Rust,Software Engineering Core,language,0.05384537234582952,0.0049261083743842365,0.04891926397144528,0.04513489035659526,22.0,0.009991920867173126,0.0011507479861910242,,global_only,low,False,33.0,True
Databricks,Data Engineering,data-engineering,0.047885129872328895,0.003284072249589491,0.0446010576227394,0.040816684007889376,23.0,0.0027773712307381255,-0.0018841533795145905,,low_demand,medium,False,29.0,True
Snowflake,Data Engineering,data-engineering,0.04720782959124928,0.0038314176245210726,0.04337641196672821,0.03959203835187818,24.0,0.012023070488758163,-0.0011001080899853497,,low_demand,medium,False,32.0,True
SQL,Data Analytics,database,0.11967895966676827,0.07881773399014778,0.04086122567662048,0.03707685206177046,25.0,0.0031154926523075735,0.07096744902395966,,established_both,medium,True,33.0,True
GitHub,Software Engineering Core,tooling,0.051203901249619016,0.011494252873563218,0.0397096483760558,0.03592527476120577,26.0,0.020571906386183003,0.0008853250819405908,,teach_ahead,medium,False,33.0,True
