zindua_track,skills,teach_ahead,established,kenya_specific,global_only,mean_global_share,mean_kenya_share
AI Engineering,13,2,1,0,1,0.05169624645394228,0.01461108723678556
AI Workflow Automation,3,0,0,0,0,0.005102328784133112,0.00558659217877095
Cybersecurity Core,9,0,6,0,0,0.01394486023156144,0.028553693358162633
Data Analytics,10,0,4,2,1,0.03383453554133225,0.06480446927374302
Data Engineering,16,0,4,0,0,0.0460267872261167,0.013966480446927375
Data Science Core,14,0,1,0,0,0.022774221951302107,0.005985634477254588
Data Storytelling,3,0,1,0,0,0.005237788840349036,0.009310986964618248
Data Structures & Algorithms,2,0,0,0,0,0.027921704087507195,0.0111731843575419
DevOps Engineering,14,0,3,0,2,0.042926324242995986,0.02274541101356744
Frontend Development,15,0,5,0,0,0.028591102531974215,0.017504655493482308
Product Management,4,0,2,1,1,0.05367604727555962,0.06424581005586592
Software Engineering Core,42,0,14,1,0,0.03110743433815668,0.019819100824687415
