zindua_track,source_group,n_jobs,n_tech_jobs,coverage
AI Engineering,GLOBAL,11619,29529,0.3934775982932033
AI Workflow Automation,GLOBAL,379,29529,0.012834840326458735
Cybersecurity Core,GLOBAL,2712,29529,0.09184191811439602
Data Analytics,GLOBAL,6935,29529,0.23485387246435707
Data Engineering,GLOBAL,10642,29529,0.36039147956246403
Data Science Core,GLOBAL,7087,29529,0.24000135460056216
Data Storytelling,GLOBAL,438,29529,0.014832876155643604
Data Structures & Algorithms,GLOBAL,1325,29529,0.044871143621524605
DevOps Engineering,GLOBAL,8688,29529,0.2942192421009855
Frontend Development,GLOBAL,7512,29529,0.254393985573504
Product Management,GLOBAL,5686,29529,0.192556469910935
Software Engineering Core,GLOBAL,16511,29529,0.5591452470452776
AI Engineering,KE,67,1827,0.03667214012041598
AI Workflow Automation,KE,8,1827,0.004378762999452655
Cybersecurity Core,KE,62,1827,0.03393541324575807
Data Analytics,KE,1208,1827,0.6611932129173509
Data Engineering,KE,145,1827,0.07936507936507936
Data Science Core,KE,80,1827,0.043787629994526546
Data Storytelling,KE,47,1827,0.025725232621784347
Data Structures & Algorithms,KE,34,1827,0.018609742747673783
DevOps Engineering,KE,152,1827,0.08319649698960044
Frontend Development,KE,105,1827,0.05747126436781609
Product Management,KE,346,1827,0.1893814997263273
Software Engineering Core,KE,445,1827,0.2435686918445539
